Stage,Description,Date
1,Chief survey. Collect baseline data on villages. Used for treatment assignment.,Jul-17
2,CAHWs nominations by the Paramount Chiefs and communities,Jul-17
3,"CAHW baseline survey. Baseline survey and tests for eligibility. If the village had a CAHW suggested by both the PC and the community, the survey would take place with both.",Jul-17
4,Treatment assignment,Aug-17
5,"CAHW training for 23 days. Across 10 sites in Koidu, by 20 MAFFS facilitators.",Aug-17
6,Household baseline survey. Survey with eight individuals per village.,Oct - Nov 2017
7,"Installation of the CAHWs in each village. CAHW introduction to their community. Also included intro of the OH platform and assignment to incentive scheme. In total, 284/287 CAHWs were installed.",Nov-17
8,"CAHW performance round 1. Data collected from field practical and field visits. 
Field practical: A total of 267/287 CAHWs participated in this exercise. Those who did not scored 0. 8 of 267 had not sent in any form: they get the same score as during the animal exercise. 
Village visit: Visited 287 villages. 20 CAHWs had not submitted any filled forms so could not be judged: `Communities with no monitoring forms to follow-up' (20 obs.) get the standardized mean value as their final score.",Feb-18
9,"Village visits:
In CM treatments: Community feedback meeting 1. Review OH project, the statement of expectations, and the `report card'. 
In P4P treatments: Enumerators delivered the incentive payments to the CAHWs in person, but in public in the P4P&CM treatments.
",Jul-18
10,"CAHW performance round 2. Data collected from field practical and field visits. A total of 276 (out of 287) CAHWs participated.
(As part of the village visits: they also did CAHW satisfaction surveys, and Town Chief Animal Census)
",Practical: Nov 2018; Village visits: Mar - Apr 2019
11,"Village visits:
In CM treatments: see above
In P4P treatments: see above",Oct - Nov 2019
12,"Household endline data, including the COVID-19 behavioral measure.",Mar - Apr 2020