"Data Source","Variable","Description","Source","Question label","Obs","Mean","SD","Min","Max"
"Blocking variables","Population size","Continuous. Summation of How many adults (over 18 years old) live in this community?, How many infants (under age of 5) live in this community?, How many children and adolescents (aged 5 and older and under 18 years) live in this community?","Chief","S2Q1c-e",324,193.08,266.69,0,3625
"Blocking variables","Ethnic fractionalization","Continuous (0-1). One minus herfindahl–Hirschman index over: of every 10 people in this village how many are: Kono, Mende, Krio, Limba, Mandingo, Fullah, Susu, Temne, Kissi, Yalunka, Loko, Koranko, Shebro, Foreigners","Chief","S2Q3a-n",324,0.34,0.26,0,0.91
"Blocking variables","Distance to nearest principal health unit (miles)","Continuous. What is the distance from the Peripheral Health Unit in miles from this community?","Chief","S3Q1c",324,5.29,3.51,0,25
"Blocking variables","Distance to phone coverage (minutes)","Continuous. How many minutes do you have to walk to get cellphone coverage?","Chief","S4Q1",324,25.3,43.18,0,540
"Blocking variables","Deliberation process CAHW candidate","Which best describes how the group came to a conclusion about the [CAHW] candidate? Options: 1) it was already decided, 2) chief and/or elders decide without other input, 3) chief and/or elders decide with input mostly from other opinion leaders, 4) chief and/or elders decide with input from many people including non-opinion leaders), 5) open discussion followed by general consensus.","Chief","S7Q4a",321,3.21,1.33,0,4
"Blocking variables","Average wealth","Based on your own personal experience and observations. When answering this question, think about all of the villages that you have visited in this area. Think about the quality of the buildings, the number of children that look malnourished (are there children with hair falling out?) and other signs of poverty. In your experience, how does this community compare to other communities that you have been to in this area? 1) A lot worse off than other communities, 2) A little worse off than other communities, 3) About the same as other communities, 4) A little better off than other communities, 5) Much better off than other communities","Chief","S7Q5",324,3.28,1.14,1,5
"Blocking variables","Number of households with livestock","Continous. How many households in this community own livestock, including goats and sheep?","Chief","S6Q3",324,30.64,61.13,0,850
"Blocking variables","Contact village chief and Paramount Chief (0,1)","Binary. Have you or your representatives contacted the Paramount Chief or one of his delegates during the last seven days?","Chief","S1Q7a",324,0.24,0.43,0,1
"Blocking variables","CHW present since","Continous. Since when does this community have a CHW?","Chief","S5Q6",314,2009.88,4.49,1985,2017
"CAHW at baseline","Female (0,1)","Binary. Respondent is female.","CAHW","S1Q3",278,0.1,0.3,0,1
"CAHW at baseline","Age (>18)","Continuous (>18). Respondent's age","CAHW","S1Q4",278,28.82,9.13,18,71
"CAHW at baseline","Married (0,1)","Binary. Respondent is married. Response options: 1) single, 2) married, 3) divorced, 4) widowed. One if response equals 2.","CAHW","S1Q5",276,0.71,0.45,0,1
"CAHW at baseline","Member of Kono tribe (0,1)","Binary. Respondent is member of the Kono tribe. To which tribe do you belong? One if response is ""Kono""","CAHW","S1Q8",287,0.71,0.45,0,1
"CAHW at baseline","Education (0-15)","Continuous (0-15). Level of education. Response options: 0: none, 1-7: PS1-PS7, 8-10: JSS1-JSS3, 11-14: SSS1-4, 15: post-secondary education.","CAHW","S1Q12",276,10.34,2.58,3,15
"CAHW at baseline","Assets (0-15)","Continuous (0-15). Summation of whether the respondent owns any of the following fifteen assets: axes, beds, bed nets, bibles/korans, big pots, buckets, chairs, cutlasses, fishing/hunting nets, hoes, lights/lanterns, tables, toilets, radios, cellphones.","CAHW","S3Q13a-o",287,12.32,2.89,0,15
"CAHW at baseline","Hours worked with animals last week","Continuous. How many hours in total did you spend on? Response options: 1) leisure (talking, socializing, religious activities), 2) meeting (community meeting), 3) work with animals (own or caring for those of others), 4) Farm activities, 5) non-farm activities (trading, weaving, carpenter, mason, making soap, tea shop, Okada, selling processed farm product, etc), 6) Wage labor, non-farm (timber, mining), 7) Traveling. Equals one if response is 3. Asked for all 7 days, for two hour intervals between 6am and 6pm.","CAHW","S3Q15a-21f",287,0.56,0.88,0,4
"CAHW at baseline","Extraversion (1-5)","Continuous (1-5). Combination of two statements: 1) I see myself as someone who is reserved, 2) I see myself as someone who is outgoing, sociable. Response options: 1 = I completely disagree with the statement, 2 = I mostly disagree with the statement, 3 = I neither agree not disagree with the statement, 4 = I mostly agree with the statement, 5 = I completely agree with the statement. Calculation: (6 – response statement 1 + response statement 2) /2.","CAHW","S6Q1-2",278,3.68,0.97,1,5
"CAHW at baseline","Agreeableness (1-5)","Continuous (1-5). Combination of two statements: 1) I see myself as someone who is generally trusting, I see myself as someone who tends to find fault with others. Calculation: (6 + response statement 1 - response statement 2) /2.","CAHW","S6Q3-4",278,1.77,0.81,1,4
"CAHW at baseline","Conscientiousness (1-5)","Continuous (1-5). Combination of two statements: 1) I see myself as someone who tends to be lazy, 2) I see myself as someone who does a thorough job. Calculation: (6 – response statement 1 + response statement 2) /2.","CAHW","S6Q5-6",278,3.39,0.88,1,5
"CAHW at baseline","Neuroticism (1-5)","Continuous (1-5). Combination of two statements: 1) I see myself as someone who is relaxed, handles stress well, 2) I see myself as someone who gets nervous easily. Calculation: (6 + response statement 1 - response statement 2) /2.","CAHW","S6Q7-8",278,1.5,0.72,1,5
"CAHW at baseline","Openness (1-5)","Continuous (1-5). Combination of two statements: 1) I see myself as someone who has few artistic interests, 1) I see myself as someone who has an active imagination. Calculation: (6 - response statement 1 + response statement 2) /2.","CAHW","S6Q9-10",278,4.15,0.84,1,5
"CAHW at baseline","Years lived in village","Continuous. How many years have you lived in your community?","CAHW","S1Q13a",278,12.85,9,1,50
"CAHW at baseline","Nights sleep in village (0-7)","Continuous (0-7). How many nights in a week do you sleep in your community?","CAHW","S1Q13b",277,6.77,0.67,3,7
"CAHW at baseline","Plan to stay in the village (0,1)","Binary. Think about your plans for the future. Do you plan to live in this community in the upcoming 5 years?","CAHW","S1Q14",271,0.75,0.43,0,1
"CAHW at baseline","Number of family in the village","Continuous. I want to ask you a question about your family. How many of your direct family members live in your community?","CAHW","S5Q1",278,9.17,6.45,0,47
"CAHW at baseline","Connected to leaders (0,1)","Binary. Do you or a direct family member hold any of the following community positions? Positions: town chief, deputy town chief, chiefdom speaker, section chief, Paramount Chief, ward councilor. One if ""yes"" to any of the positions.","CAHW","S1Q10a-f",278,0.51,0.5,0,1
"Households about CAHWs at Baseline","Knows CAHW (0,1)","Binary. Do you know [CAHW name]","HH","know_cahw1",1329,0.95,0.22,0,1
"Households about CAHWs at Baseline","Social position of CAHW in village (higher is lower)","Discrete (1-5). Think about the people in your community who you are closest to, the people with whom you have the best relationships. Imagine all of the people in your community stood in a line: at the front of the line is the person you have the best relationship with, at the end of the line is the person in your community you have the worst relationship with. Where does [CAHW name], the CAHW candidate, stand in this line? Options: 1) At the front, 2) close to the front, 3) somewhere in the middle, 4) close to the back, 5) at the back","HH","closeness_cawh1",1945,2,1.14,1,5
"Households about CAHWs at Baseline","CAHW is blood family (0,1)","Binary. Is [CAHW name], the CAHW candidate, part of your blood family?","HH","cahw1_relative",1981,0.5,0.5,0,1
"Households about CAHWs at Baseline","CAHW is immediate family (0,1)","Is [CAHW name] part of your immediate or extended family? 0) immediate family, 1) extended family","HH","cahw1_relative_type",993,0.28,0.45,0,1
"Households about CAHWs at Baseline","CAHW lives in the village (0,1)","Does [CAHW name] live in your community?","HH","cahw1_in_comm",1981,0.9,0.3,0,1
"Households about CAHWs at Baseline","How often CAHW in the village","How often is [CAHW name] present in your community? 1) Never, 2) Less than once month, 3) About once a month, 4) About once a week, 5) More than once a week, 6) They live in the community permanently","HH","cahw1_visit_comm",1971,5.64,1.01,1,6
"Households about CAHWs at Baseline","How frequently talk to the CAHW (1 = daily, 6 = never)","How frequently do you talk with [CAHW name], in any capacity? 1) daily, 2) weekly, 3) monthly, 4) quarterly (around 4 times per year), 5) annually, 6) never","HH","freq_talk_cahw1",1970,1.43,0.99,1,6
"Households about CAHWs at Baseline","CAHW eligible for Paramount Chief (0,1)","Binary. Is [CAHW name] eligible to run for Paramount Chief?","HH","cahw1_eligible_pc",1681,0.49,0.5,0,1
"Households about CAHWs at Baseline","How connected with the PC (lower is better connected)","How connected is [CAHW name] to the Paramount Chief? 1) very connected, 2) connected, 3) a little connected, 4) not connected","HH","cahw1_pc_connect",801,3.37,0.92,1,4
"Households about CAHWs at Baseline","Days per week CAHW working on CAHW things (0-7)","Continous (0-7) How many days per week do you think (CAHW name) is working on CAHW tasks?","HH","days_cahw_monitor",1482,2.86,2.31,0,7
"Households about CAHWs at Baseline","Satisfaction with CAHW helping community (1=not at all, 5=a lot)","How satisfied are you with how much [CAHW name) helps the people of your community? 1) very dissatisfied, 2) a little dissatisfied, 3) neither dissatisfied, nor satisfied, 4) a little satisfied, 5) very satisfied","HH","satisfaction_w_cahw",1931,4.37,1.15,1,5
"Households about CAHWs at Baseline","CAHW part of decision making group (1=not at all, 5=a lot)","Is [CAHW name], the CAHW candidate, in this group that contributes to making important community decisions? 1) very dissatisfied, 2) a little dissatisfied, 3) neither dissatisfied, nor satisfied, 4) a little satisfied, 5) very satisfied","HH","decisions_cahw",1904,3.97,1.34,1,5
"Households about CAHWs at Baseline","Willing to work on CAHW's farm (1=not at all, 5=a lot)","Imagine that next season [CAHW name] comes to you and asks you to work on their family farm for a day. Do you THINK that [CAHW name] would pay you to do this work? 1) very dissatisfied, 2) a little dissatisfied, 3) neither dissatisfied, nor satisfied, 4) a little satisfied, 5) very satisfied","HH","help_cahw1",1933,2.12,1.63,1,5
"Other","Rewarded CAHW (0,1)","Binary. Have you or the community rewarded the CAHW for successfully meeting their disease surveillance responsibilities?","HH","cahw_reward_yn",1602,0.33,0.47,0,1
"Other","Motivated CAHW (0,1)","Binary. Have you motivated the CAHW's because they were not meeting their disease surveillance responsibilities?","HH","cahw_motiv_yn",1640,0.25,0.43,0,1
"Households at baseline","Female (0,1)","Binary. Respondent is female.","HH","female",2135,0.24,0.43,0,1
"Households at baseline","Respondent age (>18)","Continuous (>18). Respondent's age","HH","age",2001,44.71,16.05,18,115
"Households at baseline","Married (0,1)","Binary. Respondent is married. Response options: 1) single, 2) married, 3) divorced, 4) widowed, 5) separated. One if response equals 2.","HH","marital",2121,0.8,0.4,0,1
"Households at baseline","Years in community (0-100)","Continuous. How many years have you lived in your community?","HH","yrs_community",2015,27.4,19.07,0.5,115
"Households at baseline","Formal education (0,1)","Binary. Level of education. Response options: 0: none, 1-7: PS1-PS7, 8-10: JSS1-JSS3, 11-14: SSS1-4, 15: post-secondary education. One if any formal education","HH","education_lvl",2133,0.2,0.4,0,1
"Households at baseline","Illiterate (0,1)","Can you read and write? Options: 1) neither read nor write, 2) can read, 3) can write, 4) can both read and write. One if response=1","HH","literacy",2134,0.85,0.36,0,1
"Households at baseline","Christian (0,1)","Binary. Options: 1) no religion, 2) Christian, 3) Islam, 4) African traditional religion. One if response equals 2.","HH","religion",2135,0.52,0.5,0,1
"Households at baseline","Muslim (0,1)","Binary. Options: 1) no religion, 2) Christian, 3) Islam, 4) African traditional religion. One if response equals 3.","HH","religion",2135,0.48,0.5,0,1
"Households at baseline","Cares for any animals (0,1)","Binary. Care for any of the following animals at the moment: sheep, goats, chickens, ducks, cows, pigs, dogs, cats?","HH","animal_care",2136,0.89,0.32,0,1
"Service Provider Performance Effort","CAHW performance index","Index, based on number of forms, the number of animals, proportion findable. Simple average od standardized variables by dividing it by its 95th-percentile value, coding 1 if above threshold","Performance","y_effort_2",287,0.48,0.22,0,1
"Service Provider Performance Effort","Reports submitted","Number of surveillance forms submitted","Performance","n_reports",287,72.8,54.05,0,363
"Service Provider Performance Effort","Animals examined","Number of sick animals reported on in forms","Performance","n_animals",287,173.63,230.25,0,2499
"Service Provider Performance Effort","Findability CAHW","Whether a CAHW was found when ministry runners went to collect forms","Performance","findable",287,0.83,0.22,0,1
"Provider Performance Quality","CAHW quality index","Index, based on four validation exercises. Simple average of standardized variables as per Kling et al 2007","Quality","final_score_r2",287,0.45,0.11,0,1
"Provider Performance Quality","Animal Station Exam","Sick animals exam: CAHWs fil out a disease reporting form for a sick animal.","Quality","as_final_score_r2",287,0,1,-3.04,0.63
"Provider Performance Quality","Form Review","Inspection of five randomly select3ed disease surveillance forms.","Quality","fr_final_score_r2",287,0,1,-6.56,1.59
"Provider Performance Quality","Sick Animal Observation","Ministry experts check if sick animals in village were reported on","Quality","sao_final_score_r2",287,0,0.68,-0.14,11.01
"Provider Performance Quality","Monitoring Form Follow-Up","Ministry experts check if they can find sick animals that were reported on","Quality","mfu_final_score_r2",287,0,1,-0.3,8.74
